img,differences,change
train_1.png,"[0.002916565164923668, 0.0022343089804053307, 0.00047608138993382454, 0.004303698427975178, 0.0019863187335431576, 0.003888395382091403, 2.5802291929721832e-05, 0.0069193001836538315, 5.00604510307312e-05, 0.00010609327000565827, 0.0006555779837071896, 0.00022226464352570474, 0.004566052462905645, 0.022028300911188126, 0.00015915368567220867, 0.0017875453922897577, 0.020269054919481277, 0.0003363560535944998, 0.0009452378726564348, 0.0068219974637031555, 0.05679452419281006, 3.914046101272106e-05, 0.0006491693202406168, 0.00032058736542239785, 0.007335371803492308, 0.0007020588382147253, 0.004722604528069496, 0.0026532751508057117, 0.02739620767533779, 0.05560940504074097, 0.008647071197628975, 0.011890232563018799]",1
train_10.png,"[0.0001855669543147087, 0.0024827371817082167, 0.00027001556009054184, 0.005063517950475216, 0.0048586903139948845, 0.0005829337169416249, 0.0005634005647152662, 0.0018805661238729954, 0.07698383927345276, 0.011264137923717499, 0.001968619879335165, 0.00019133789464831352, 0.007355610374361277, 0.0949532687664032, 0.00020465964917093515, 3.0763447284698486e-05, 0.017578989267349243, 0.0003576573799364269, 0.01593598537147045, 0.1510705053806305, 0.01664818823337555, 0.00016504227824043483, 0.002597593469545245, 6.34892494417727e-05, 0.0036217551678419113, 0.0015502815367653966, 0.004992634057998657, 0.005019871052354574, 0.006557517219334841, 0.07202436774969101, 0.027234025299549103, 0.10359647125005722]",1
train_100.png,"[0.004939010366797447, 0.000165564997587353, 0.008705409243702888, 0.014143263921141624, 0.008436204865574837, 0.002703889273107052, 0.0015063784085214138, 0.0006415055831894279, 0.051863472908735275, 0.0003168144612573087, 2.059002872556448e-05, 2.8383568860590458e-05, 0.0026344554498791695, 0.3408010005950928, 9.582370694261044e-05, 0.004111886490136385, 0.029064446687698364, 0.001757640391588211, 0.00902116484940052, 0.22192803025245667, 0.04485572874546051, 1.2000375136267394e-05, 0.0011104583973065019, 1.6380814486183226e-05, 4.3469888623803854e-05, 9.147170931100845e-05, 0.004742066375911236, 0.00124903314281255, 0.0010300553403794765, 0.029096325859427452, 0.004291480407118797, 0.4922521114349365]",1
train_101.png,"[0.003758032340556383, 0.01225004717707634, 0.02404707297682762, 0.00010460126213729382, 0.0005827982677146792, 0.0025058698374778032, 0.0007819808088243008, 0.00581117020919919, 0.012722188606858253, 0.0002173005195800215, 0.0003630185965448618, 0.0001650985941523686, 0.004582899156957865, 0.0337209552526474, 1.2108634109608829e-05, 0.0017759690526872873, 0.07330109179019928, 0.005943223834037781, 0.026936503127217293, 0.2066110372543335, 0.36689960956573486, 1.1768141121137887e-05, 0.00034539238549768925, 0.00023959780810400844, 0.00027313633472658694, 0.0014117861865088344, 0.00843373779207468, 0.0027989947702735662, 0.013025172986090183, 0.01437513530254364, 0.011041933670639992, 0.026532385498285294]",1
train_102.png,"[0.0012747913133352995, 0.0018670172430574894, 0.008431743830442429, 0.0012967814691364765, 0.0005046851001679897, 0.0005683320923708379, 0.0001905081735458225, 0.0005614371038973331, 0.018682416528463364, 0.0005017315852455795, 0.0005664841737598181, 0.0002354792522964999, 0.0009022103622555733, 0.3951199948787689, 1.3470445992425084e-05, 0.0009311734465882182, 0.015363404527306557, 0.0034675984643399715, 0.0012168213725090027, 0.1094704270362854, 0.24856121838092804, 7.938328781165183e-05, 0.0003411167417652905, 5.382070958148688e-05, 0.0003746471193153411, 0.0002058745303656906, 0.0006373005453497171, 0.0021195518784224987, 0.001424404326826334, 0.002787993522360921, 0.007688422687351704, 0.18668308854103088]",1
train_103.png,"[0.016536274924874306, 0.0020420211367309093, 0.003203775268048048, 0.020733878016471863, 0.0008347239345312119, 0.0015255558537319303, 0.001852015615440905, 0.0010743492748588324, 0.01655029132962227, 2.3305707145482302e-05, 0.0015164425130933523, 0.00031305314041674137, 0.016942232847213745, 0.05141506716609001, 0.00021994345297571272, 0.002311655320227146, 0.027171995490789413, 0.00032336730509996414, 0.0016056697349995375, 0.10082551836967468, 0.07165659964084625, 8.200604497687891e-05, 0.004416655283421278, 0.0014775244053453207, 0.0009040105505846441, 0.0037772678770124912, 0.015219410881400108, 0.003823763458058238, 0.0015643511433154345, 0.13401243090629578, 0.0023032929748296738, 0.17823782563209534]",1
train_104.png,"[0.009124486707150936, 0.0001979342196136713, 0.00020112539641559124, 0.0011593158124014735, 0.001202177256345749, 0.008591785095632076, 0.024892223998904228, 0.003958399407565594, 0.04133836179971695, 6.679194484604523e-05, 0.0010845313081517816, 0.00028434774139896035, 0.00415438786149025, 0.014185991138219833, 0.0003577355237212032, 0.0025109080597758293, 0.009815234690904617, 2.5092827854678035e-05, 0.00025830589584074914, 0.03223023563623428, 0.11218535900115967, 2.1886255126446486e-05, 0.00027970457449555397, 0.00017378205666318536, 0.0004163249395787716, 0.0002277870662510395, 0.010454582050442696, 0.0005100592970848083, 0.0025047622621059418, 0.02616468071937561, 0.009996580891311169, 0.009037606418132782]",1
train_105.png,"[0.0014130508061498404, 0.00038875133031979203, 0.011686034500598907, 0.0014446184504777193, 0.003422799054533243, 0.0007938101189211011, 0.00024821225088089705, 0.0001935973414219916, 0.006044546142220497, 0.0006296052597463131, 0.001045183278620243, 0.0006793945794925094, 0.02142731286585331, 0.029279209673404694, 8.712149428902194e-05, 0.00015116020222194493, 0.028644710779190063, 0.00024227483663707972, 0.00017767795361578465, 0.0457601398229599, 0.2079179286956787, 0.00013244026922620833, 0.0002239360474050045, 0.0011022588005289435, 0.0019890167750418186, 0.0008533226209692657, 0.006785084027796984, 0.0018248431151732802, 0.00405887933447957, 0.13518473505973816, 0.009267986752092838, 0.3478616178035736]",1
train_106.png,"[0.0006965995999053121, 9.631786087993532e-05, 0.01863972097635269, 4.579906817525625e-05, 0.0002809818834066391, 4.516495391726494e-05, 0.00492072943598032, 0.002788248937577009, 0.0001275758258998394, 0.00022035447182133794, 0.00020824390230700374, 0.00015779456589370966, 0.004133027978241444, 0.1251671314239502, 9.106510697165504e-05, 0.0009154092986136675, 0.04585174098610878, 0.002686230931431055, 0.012882712297141552, 0.22327816486358643, 0.048637717962265015, 0.0002333145821467042, 0.00019964168313890696, 0.0003448785573709756, 0.0012371365446597338, 8.293642895296216e-05, 0.0014643389731645584, 0.0018840795382857323, 0.002898750826716423, 0.16883084177970886, 0.14358079433441162, 0.0021217577159404755]",1
train_107.png,"[0.039713338017463684, 0.36210793256759644, 0.003965847194194794, 0.009318668395280838, 0.0002246976364403963, 0.0001152076874859631, 0.0012664530659094453, 0.005866630002856255, 0.13654176890850067, 0.0001373759878333658, 0.0020594692323356867, 0.00021894637029618025, 0.0011937404051423073, 0.012123487889766693, 0.0011417686473578215, 0.0017450583400204778, 0.0025471458211541176, 0.00013887988461647183, 0.0006705010309815407, 0.04813479632139206, 0.17416585981845856, 0.0003038730355910957, 0.03083518147468567, 0.010526645928621292, 0.03003809042274952, 0.006460727192461491, 0.09052856266498566, 0.027607202529907227, 0.028666343539953232, 0.023135149851441383, 0.007075379136949778, 0.4466632902622223]",1
